"","X1","X2","X3","X4"
"PC1",-0.0513236072607426,-0.0484970346086988,0.106619989612771,0.0956857542464
"PC2",-0.153979379940659,-0.0266168740027457,-0.147207977689041,-0.0716548351688313
"PC3",0.156256350301451,0.0193526082476102,0.0680794632598775,0.0193643121888916
"PC4",-0.0593582437658261,0.0754496088067447,0.013774881343542,-0.0566453308686985
"PC5",0.0472083939714641,-0.0307868999827428,-0.0226803883122793,-0.0205817282559917
"PC6",0.133743315792998,-0.0442303288041193,0.0363013066031761,-0.00390702733469099
"PC7",0.0861242007363571,-0.0205391933184096,0.0490258603517082,0.0864601700011393
"PC8",0.0140652254221457,-0.0102674495116045,-0.109290573209676,0.127225614009232
"PC9",0.146695986369727,0.162403993628595,0.0128187687323659,0.0280969613652475
"PC10",-0.0551502102866259,-0.0159788945390857,0.00799945012846784,0.134237450471612
"PC11",0.0374121601951532,0.089004440510183,0.0879070235716662,-0.118452017902063
"PC12",-0.0981873924806904,-0.0198557208223093,-0.0411562196760395,-0.068357056285131
"PC13",0.0140653967066388,0.0689711004354385,-0.0516537347713697,0.0666586850835385
"PC14",-0.136776885449042,0.122123494600423,-0.00148608287280657,0.0905762614635714
"PC15",0.211541255874347,0.025533894681881,-0.176435658796973,0.00268773588561586
"PC16",-0.0496093673380043,-0.0512490460071699,-0.0131980549004903,0.0352899247745989
"PC17",0.011898956911732,0.080522366258158,0.0801010072912455,0.105181043439117
"PC18",0.213024771517051,-0.0964493330911717,0.114611521820179,-0.0601004845960567
"PC19",-0.0393227215826672,0.194808365671326,0.049437704963288,0.0392040877665338
"PC20",0.052790934212168,0.169543970950645,0.0691591410012622,-0.03775534941353
"PC21",0.0626222252343313,0.0745704686666053,-0.106696529357445,0.0319907833984607
"PC22",-0.103415485423218,0.079522886741534,0.00306211164855445,-0.0264001404816482
"PC23",-0.0150385766084675,0.171419231650322,-0.03324423321281,-0.0855390231403101
"PC24",0.00773042726498388,0.0799226550830257,-0.0450740779092724,0.00422303529871978
"PC25",-0.217857631997685,-0.0264690715549734,0.116085534380263,-0.011089422519583
