"","X1","X2","X3","X4"
"PC1",-0.0943424704099777,-0.108093474375232,-0.273068943290874,-0.275987822633263
"PC2",-0.283043142739301,-0.0593254909538003,0.377020547999736,0.206675090719003
"PC3",0.287228643727105,0.0431344035895271,-0.174361178984377,-0.0558527693060845
"PC4",-0.109111647737767,0.168167196653922,-0.0352794284270657,0.163382957598216
"PC5",0.0867779322043492,-0.0686199272023218,0.0580876971790564,0.0593641803018384
"PC6",0.245845440064856,-0.0985835515876814,-0.0929728043513147,0.0112690961738499
"PC7",0.158312525038893,-0.0457791447366811,-0.12556219456397,-0.249378334852952
"PC8",0.0258545372007297,-0.0228847866603896,0.279908687352238,-0.366958702161342
"PC9",0.269654891618157,0.361977017056194,-0.0328306881734895,-0.0810404772463532
"PC10",-0.101376488516032,-0.0356148420484126,-0.0204877284402506,-0.387183044783225
"PC11",0.0687706068330912,0.19837912332569,-0.225142378288935,0.341652890388715
"PC12",-0.180486946731587,-0.0442557749607897,0.105406926577272,0.197163258776975
"PC13",0.0258548520539316,0.153727458548824,0.132292554353767,-0.19226462184149
"PC14",-0.251421713261277,0.272197113508396,0.00380606939837687,-0.261250437752942
"PC15",0.388852727584495,0.0569116733170435,0.451876792349144,-0.0077522759863888
"PC16",-0.0911913741052117,-0.114227343713451,0.0338020939437466,-0.101787246974642
"PC17",0.0218725270936571,0.179473701928117,-0.20515006141902,-0.303375224344313
"PC18",0.391579709145108,-0.214972803989317,-0.293536392810215,0.173348708107132
"PC19",-0.072282579018765,0.434202075501686,-0.126616987134223,-0.113076924629208
"PC20",0.0970396941026406,0.377891081945484,-0.177126387094087,0.10889830737568
"PC21",0.115111461304001,0.166207709584719,0.273264972452703,-0.0922714851757115
"PC22",-0.190097167642702,0.177245994308662,-0.00784250303480791,0.0761463119157743
"PC23",-0.0276437402672143,0.382070789963152,0.085143205011625,0.246721457468772
"PC24",0.0142099833668749,0.178137025055713,0.115441118210548,-0.0121805625735664
"PC25",-0.400463418245557,-0.0589960588507936,-0.297311548422605,0.031985383817522
