"","X1","X2","X3","X4","X1","X2","X3","X4"
"1","rho","rho","rho","rho","p","p","p","p"
"rh_lateralorbitofrontal_thickness","-0.209146257655406","-0.120357160356507","-0.144181891334703","-0.0417011949078994","0.0134765304206814","0.158152632825406","0.0903814248040749","0.625959134940912"
"rh_lingual_thickness","-0.189392104548773","0.103662419430067","-0.00603210735957712","-0.135675396502616","0.025549857258768","0.224594951728545","0.943814860243546","0.111268471320761"
"rh_medialorbitofrontal_thickness","-0.207614506165223","-0.194469201307712","-0.00529224535919861","-0.218675255249982","0.0141899430682639","0.0217904893472711","0.950696903176323","0.00970289547896375"
"rh_middletemporal_thickness","-0.177930855321752","-0.080403834690321","0.0128977632340972","-0.00588857274519296","0.0361192355415534","0.346750213828068","0.880215930661003","0.945149681125129"
"rh_parahippocampal_thickness","0.0192887062599887","-0.133749114230713","-0.345315643762494","-0.0943393025144414","0.821685310669187","0.116484816936297","3.13748603699704e-05","0.269304400527337"
"rh_paracentral_thickness","-0.147554069165442","-0.22102804558917","-0.0668405318398833","-0.116348994466","0.0830194537801157","0.00892868834990512","0.434333935662724","0.172572430346583"
"rh_parsopercularis_thickness","-0.234803440296544","-0.021749143896884","-0.0503892971693494","-0.251341081823798","0.00539748726531109","0.799392680732546","0.5558003820438","0.0028397489050922"
"rh_parsorbitalis_thickness","-0.239373345156916","0.0503701903333184","-0.238838006836948","-0.108371647248729","0.00453877345860754","0.555950418708292","0.00463260482711236","0.204124279650927"
"rh_parstriangularis_thickness","-0.2575579866071","-0.0651948319702143","-0.171258256394106","-0.217494778044491","0.00220631507782931","0.4457577841511","0.0438219398796198","0.0101131867908002"
"rh_pericalcarine_thickness","-0.384666042823553","0.2663624294102","0.0268709813592723","0.10096167525094","2.93419149999252e-06","0.00152716884316062","0.753520967906738","0.236969241834653"
"rh_postcentral_thickness","-0.229461361309232","-0.193243375567034","-0.0514005814267078","0.244496557680184","0.00658299271849216","0.0226515977008994","0.547887280138754","0.00372331029794548"
"rh_posteriorcingulate_thickness","0.0951611921515692","-0.106919962319911","-0.315164804910361","-0.113158902757673","0.265136131900812","0.210286114444505","0.000157487147826707","0.184726849762149"
"rh_precentral_thickness","-0.316017917404676","-0.150586033893713","0.0155965891125808","-0.0846791843927321","0.000150803636569385","0.0768179119806753","0.855400923984587","0.321627482758247"
"rh_precuneus_thickness","-0.176669648481607","-0.111288601097798","-0.0328584408761634","-0.167770911107537","0.0374806427723531","0.192137979154366","0.700977884342278","0.0483653723567354"
"rh_rostralanteriorcingulate_thickness","0.0453266834556905","-0.098290313806997","-0.293963564935472","-0.450790707126301","0.596222550849851","0.249670089574345","0.000444050445344235","2.56616834448664e-08"
"rh_rostralmiddlefrontal_thickness","-0.383636940599832","0.0655659620134044","0.0678759879912345","-0.097711592624817","3.13436921661747e-06","0.443166852509604","0.427232759113012","0.252482451265923"
"rh_superiorfrontal_thickness","-0.170284953129485","-0.117128384194844","-0.000315897405084116","-0.288361859973737","0.0450526096021069","0.169694927517182","0.997055219509218","0.000576449170733628"
"rh_superiorparietal_thickness","-0.368676308505218","-0.0573274280082055","0.164845455988586","0.189202196807823","7.98002209068116e-06","0.502648320893388","0.0524724627869937","0.0257006276715117"
"rh_superiortemporal_thickness","-0.193795280462031","-0.241547667464684","-0.130604205438983","0.0312062889050422","0.0222603460628124","0.00417492756797744","0.12540702445219","0.715347906725651"
"rh_supramarginal_thickness","-0.344438546971838","-0.079858719769949","0.0861710602404698","0.0409122466885144","3.29614139187306e-05","0.350039922430456","0.313144821210511","0.6325129484368"
"rh_frontalpole_thickness","0.13372793292524","-0.0218717156230075","-0.00390161117485862","-0.449362110131217","0.11654321375226","0.798286184708647","0.963641739174782","2.87442758484246e-08"
"rh_temporalpole_thickness","0.0555763670898441","-0.135064469576625","-0.348181419218243","-0.36440509216923","0.515807671633198","0.112902726147364","2.66769176142656e-05","1.03329406626607e-05"
"rh_transversetemporal_thickness","-0.154250265286103","-0.205476829383596","-0.142723756080772","-0.0416375754911764","0.069827453330183","0.0152405544510152","0.0937215216095089","0.626486550274578"
"rh_insula_thickness","0.0762976930194066","-0.350178932447293","-0.144803506368552","-0.194097375392909","0.372009456497285","2.38027288039788e-05","0.0889866261133438","0.0220486592081621"
